No.,Name,Position,Height,Weight,Experience,College,Birth,Team
20,Georges Niang,PF,6月7日,230,7,Iowa State,17-Jun-93,Cleveland Cavaliers
31,Jarrett Allen,C,6月11日,243,6,Texas,21-Apr-98,Cleveland Cavaliers
1,Max Strus,SF,6月5日,215,4,Lewis (IL),28-Mar-96,Cleveland Cavaliers
3,Caris LeVert,SG,6月6日,205,7,Michigan,25-Aug-94,Cleveland Cavaliers
35,Isaac Okoro,SF,6月5日,225,3,Auburn,26-Jan-01,Cleveland Cavaliers
5,Sam Merrill,SG,6月4日,205,3,Utah State University,15-May-96,Cleveland Cavaliers
10,Darius Garland,PG,6月1日,192,4,Vanderbilt,26-Jan-00,Cleveland Cavaliers
45,Donovan Mitchell,SG,6月3日,215,6,Louisville,7-Sep-96,Cleveland Cavaliers
32,Dean Wade,PF,6月9日,228,4,Kansas State,20-Nov-96,Cleveland Cavaliers
9,Craig Porter Jr.,PG,6月2日,186,R,Vincennes University,26-Feb-00,Cleveland Cavaliers
4,Evan Mobley,PF,6月11日,215,2,USC,18-Jun-01,Cleveland Cavaliers
"12, 13",Tristan Thompson,C,6月9日,254,12,Texas,13-Mar-91,Cleveland Cavaliers
30,Damian Jones,C,6月11日,245,7,Vanderbilt,30-Jun-95,Cleveland Cavaliers
21,Emoni Bates,SF,6月10日,170,R,Memphis,28-Jan-04,Cleveland Cavaliers
24,Marcus Morris,PF,6月8日,218,12,Kansas,2-Sep-89,Cleveland Cavaliers
15,Isaiah Mobley,PF,6月8日,240,1,USC,24-Sep-99,Cleveland Cavaliers
8,Pete Nance,PF,6月11日,230,R,Northwestern,19-Feb-00,Cleveland Cavaliers
2,Ty Jerome,SG,6月5日,195,4,Virginia,8-Jul-97,Cleveland Cavaliers
4,Jalen Green,SG,6月4日,178,2,NULL,9-Feb-02,Houston Rockets
0,Aaron Holiday,PG,6-0,185,5,UCLA,30-Sep-96,Houston Rockets
32,Jeff Green,PF,6月8日,235,15,Georgetown,28-Aug-86,Houston Rockets
10,Jabari Smith Jr.,PF,6月11日,220,1,Auburn,13-May-03,Houston Rockets
5,Fred VanVleet,PG,6-0,197,7,Wichita State,25-Feb-94,Houston Rockets
9,Dillon Brooks,SF,6月6日,225,6,Oregon,22-Jan-96,Houston Rockets
8,Jae'Sean Tate,SF,6月4日,230,3,Ohio State,28-Oct-95,Houston Rockets
28,Alperen Sengun,C,6月11日,235,2,NULL,25-Jul-02,Houston Rockets
1,Amen Thompson,SF,6月7日,209,R,NULL,30-Jan-03,Houston Rockets
2,Jock Landale,C,6月11日,256,2,Saint Mary's,25-Oct-95,Houston Rockets
7,Cam Whitmore,SF,6月7日,232,R,Villanova,8-Jul-04,Houston Rockets
25,Reggie Bullock,SF,6月6日,205,10,UNC,16-Mar-91,Houston Rockets
17,Tari Eason,PF,6月8日,216,1,Cincinnati,10-May-01,Houston Rockets
19,Jeenathan Williams,SG,6月5日,205,1,Buffalo,12-Feb-99,Houston Rockets
14,Nate Hinton,SG,6月5日,210,2,Houston,8-Jun-99,Houston Rockets
51,Boban Marjanović,C,7月4日,290,8,NULL,15-Aug-88,Houston Rockets
0,Jermaine Samuels,SF,6月7日,230,R,Villanova,13-Nov-98,Houston Rockets
NULL,Steven Adams,C,6月11日,265,10,Pitt,20-Jul-93,Houston Rockets
11,Klay Thompson,SF,6月6日,215,10,Washington State,8-Feb-90,Golden State Warriors
30,Stephen Curry,PG,6月2日,185,14,Davidson,14-Mar-88,Golden State Warriors
0,Jonathan Kuminga,PF,6月8日,210,2,NULL,6-Oct-02,Golden State Warriors
2,Brandin Podziemski,SG,6月5日,205,R,Illinois,25-Feb-03,Golden State Warriors
5,Kevon Looney,C,6月9日,222,8,UCLA,6-Feb-96,Golden State Warriors
22,Andrew Wiggins,SF,6月7日,197,9,Kansas,23-Feb-95,Golden State Warriors
32,Trayce Jackson-Davis,PF,6月9日,245,R,Indiana,22-Feb-00,Golden State Warriors
4,Moses Moody,SG,6月6日,205,2,Arkansas,31-May-02,Golden State Warriors
20,Dario Šarić,C,6月10日,225,6,NULL,8-Apr-94,Golden State Warriors
3,Chris Paul,PG,6-0,175,18,Wake Forest,6-May-85,Golden State Warriors
23,Draymond Green,PF,6月6日,230,11,Michigan State,4-Mar-90,Golden State Warriors
0,Gary Payton II,SG,6月2日,190,7,Oregon State,1-Dec-92,Golden State Warriors
25,Lester Quinones,SG,6月5日,208,1,Memphis,16-Nov-00,Golden State Warriors
15,Gui Santos,PF,6月8日,209,R,NULL,22-Jun-02,Golden State Warriors
18,Jerome Robinson,SG,6月4日,190,3,Boston College,22-Feb-97,Golden State Warriors
12,Usman Garuba,PF,6月8日,220,2,NULL,9-Mar-02,Golden State Warriors
61,Pat Spencer,PG,6月3日,205,R,Loyola (MD),4-Jul-96,Golden State Warriors
