Name,Release_Date,URL
功夫熊貓4,2024/04/04,http://www.atmovies.com.tw/movie/fken21692408/
特技玩家,2024/04/26,http://www.atmovies.com.tw/movie/ffen41684562/
挑戰者,2024/05/01,http://www.atmovies.com.tw/movie/fcen16426418/
帝國浩劫：美國內戰,2024/05/01,http://www.atmovies.com.tw/movie/fcen17279496/
犯罪都市4,2024/05/10,http://www.atmovies.com.tw/movie/frkr27811040/
芙莉歐莎：瘋狂麥斯傳奇篇章,2024/05/22,http://www.atmovies.com.tw/movie/ffen12037194/
猩球崛起：王國誕生,2024/05/24,http://www.atmovies.com.tw/movie/fken11389872/
絕地戰警4,2024/06/05,http://www.atmovies.com.tw/movie/fben54919268/
腦筋急轉彎2,2024/06/13,http://www.atmovies.com.tw/movie/fien22022452/
神偷奶爸4,2024/07/05,http://www.atmovies.com.tw/movie/fden57510222/
龍捲風暴,2024/07/17,http://www.atmovies.com.tw/movie/ften12584954/
死侍與金鋼狼,2024/07/27,http://www.atmovies.com.tw/movie/fden66263850/
邊緣禁地,2024/08/09,http://www.atmovies.com.tw/movie/fben44978420/
異形：羅穆路斯,2024/08/15,http://www.atmovies.com.tw/movie/faen18412256/
獵人克萊文,2024/08/28,http://www.atmovies.com.tw/movie/fken58790086/
荒野機器人,2024/10/10,http://www.atmovies.com.tw/movie/fwen29623480/
海洋奇緣2,2024/11/27,http://www.atmovies.com.tw/movie/fmen13622970/
